t,price_ratio,trueX,af_minX,af_maxX,af_width,af_cover,narX,ae_nar,af_pointX,ae_af_point
26,1.597457988569479,26.14,23.19,41.38,18.19,1,24.28,1.8599999999999994,34.66,8.519999999999996
27,2.733021674458138,48.23,45.95,51.97,6.019999999999996,1,52.87,4.640000000000001,50.82,2.5900000000000034
28,2.32873425314937,35.82,19.43,29.47,10.04,0,21.66,14.16,22.34,13.48
29,1.5767848667706286,29.1,24.91,32.95,8.040000000000003,1,29.94,0.8399999999999999,30.58,1.4799999999999969
30,5.704830178173719,62.3,0.0,1.61,1.61,0,64.82,2.519999999999996,0.0,62.3
31,2.2206035379812694,44.6,0.0,25.58,25.58,0,46.56,1.9600000000000009,0.0,44.6
32,1.5629806213472779,37.33,29.98,37.95,7.970000000000002,1,37.13,0.19999999999999574,31.63,5.699999999999999
33,1.5417151404354328,31.75,26.8,37.61,10.809999999999999,1,34.21,2.460000000000001,34.15,2.3999999999999986
34,1.8184086251447917,40.82,20.36,42.92,22.560000000000002,1,46.02,5.200000000000003,22.83,17.990000000000002
35,2.3695310967235628,23.92,25.71,36.14,10.43,0,26.08,2.1599999999999966,32.95,9.030000000000001
36,1.2048255770523641,40.6,25.84,34.89,9.05,0,31.89,8.71,31.52,9.080000000000002
37,2.023927008658412,45.65,17.84,32.94,15.099999999999998,0,45.99,0.3400000000000034,25.74,19.91
38,1.1160026560424967,34.64,24.39,35.96,11.57,1,32.0,2.6400000000000006,28.46,6.18
39,3.9448410123296562,59.57,0.0,26.31,26.31,0,60.63,1.0600000000000023,21.67,37.9
40,1.658372213582167,26.27,22.32,41.43,19.11,1,24.14,2.129999999999999,34.22,7.949999999999999
41,1.9387755102040818,25.61,23.97,30.81,6.84,1,25.95,0.33999999999999986,26.22,0.6099999999999994
42,1.1617801547130169,36.37,30.71,39.7,8.990000000000002,1,36.33,0.03999999999999915,34.1,2.269999999999996
43,7.315124489037532,62.99,0.0,0.6,0.6,0,63.11,0.11999999999999744,0.0,62.99
44,2.393090485993019,49.73,0.0,19.35,19.35,0,50.45,0.720000000000006,0.0,49.73
45,4.083642397032989,21.93,20.09,87.41,67.32,1,16.45,5.48,82.93,61.00000000000001
46,5.98817097415507,60.24,0.0,1.21,1.21,0,64.5,4.259999999999998,0.0,60.24
47,2.5596284741917184,24.26,18.39,28.91,10.52,1,23.0,1.2600000000000016,22.35,1.9100000000000001
48,2.6388790664780766,21.49,23.04,31.29,8.25,0,21.13,0.35999999999999943,26.58,5.09
49,2.2438165438165436,25.94,24.3,33.11,8.809999999999999,1,26.18,0.23999999999999844,27.1,1.1600000000000001
50,5.976047904191617,22.09,0.0,8.9,8.9,0,17.68,4.41,3.81,18.28
