,subject,price_ratio50,trueX,af_minX,af_maxX,af_width,dist_to_band,narX,nar_abs_err,nar_in_band
135,905,1.2330827067669174,9.46,86.52,86.52,0.0,77.06,30.27,20.81,0
146,916,4.65448122264035,67.71,0.0,0.0,0.0,67.71,40.49,27.21999999999999,0
102,627,2.4884437596302007,94.63,28.82,28.82,0.0,65.81,26.59,68.03999999999999,0
69,529,5.14388798213212,0.6,63.82,63.82,0.0,63.22,66.9,66.30000000000001,0
2,110,6.503486202494353,16.8,79.83,83.48,3.6500000000000057,63.03,11.14,5.66,0
19,314,1.8479428679769954,29.43,92.09,92.09,0.0,62.660000000000004,19.18,10.25,0
137,907,5.417817414652858,20.13,77.06,90.9,13.840000000000003,56.93000000000001,13.14,6.989999999999998,0
120,803,6.297611940298508,26.43,81.74,88.94,7.200000000000003,55.309999999999995,12.56,13.87,0
41,417,7.970536145548221,32.7,87.14,87.14,0.0,54.44,21.26,11.440000000000001,0
89,614,3.029902557856273,98.03,46.94,46.94,0.0,51.09,29.95,68.08,0
59,443,5.065474254742548,49.82,100.0,100.0,0.0,50.18,5.34,44.480000000000004,0
8,127,4.237998611630267,50.0,100.0,100.0,0.0,50.0,12.48,37.519999999999996,0
0,108,4.60375009725356,50.89,0.0,1.6,1.6,49.29,53.57,2.6799999999999997,0
96,621,9.49462984273111,51.93,100.0,100.0,0.0,48.07,8.36,43.57,0
105,630,2.1167990425416168,47.61,1.58,1.58,0.0,46.03,20.08,27.53,0
134,904,1.896962680468537,45.6,0.0,0.0,0.0,45.6,41.25,4.350000000000001,0
104,629,1.670089649551752,0.96,45.42,45.42,0.0,44.46,22.79,21.83,0
133,903,1.2616475354490209,99.17,12.59,57.24,44.650000000000006,41.93,40.65,58.52,1
151,921,7.258925564163017,41.38,0.0,0.78,0.78,40.6,80.37,38.99,0
60,501,1.8863545816733067,78.6,21.27,40.16,18.889999999999997,38.44,52.53,26.069999999999993,0
